templateID,finding,csf_function,subcategory_id,subcategory_name,rationale,recommended_remediation
networking/open-ports,Open Ports Detected,Identify,ID.AM-02,Inventories of software and systems are maintained,Open ports reflect active services that should be inventoried and assessed.,Close unnecessary ports or restrict access via firewall/security group.
exposures/git-auth-token,Publicly Exposed Git Auth Token,Identify,ID.RA-01,Vulnerabilities in assets are identified and recorded,Leaked credentials are critical vulnerabilities requiring immediate action.,"Revoke the token immediately, rotate credentials, and apply .gitignore rules."
default-logins/ssh-default-creds,SSH Default Credentials,Protect,PR.AA-01,Identities and credentials are managed,Default credentials indicate failed credential management.,Change default passwords and enforce key-based SSH authentication.
auth/open-admin,Unauthenticated Admin Panel,Protect,PR.AA-03,Users and services are authenticated,Exposed admin interfaces without authentication are critical gaps.,"Restrict access with authentication, IP allowlists, or VPN."
headers/missing-content-type,Missing X-Content-Type-Options Header,Protect,PR.DS-02,Data-in-transit is protected,Missing security headers enable MIME-sniffing attacks.,Add X-Content-Type-Options: nosniff to all server responses.
misconfiguration/dir-listing,Open Directory Listing,Protect,PR.DS-01,Data-at-rest is protected,Directory listing exposes file structure and potentially sensitive data.,Disable directory listing in web server configuration.
ssl/self-signed,Self-Signed SSL Certificate,Protect,PR.DS-02,Data-in-transit is protected,Self-signed certs break trust chains and enable MITM attacks.,"Replace with a valid certificate from a trusted CA (e.g., Let's Encrypt)."
ssl/expired-cert,Expired SSL Certificate,Protect,PR.DS-02,Data-in-transit is protected,Expired certificates cause trust warnings and potential security bypasses.,Renew the certificate before expiration; implement certificate monitoring.
ssl/weak-cipher,Weak SSL/TLS Cipher Suite,Protect,PR.DS-02,Data-in-transit is protected,Weak ciphers can be broken allowing traffic decryption.,Configure server to use only strong cipher suites; disable SSLv3 and TLS 1.0/1.1.
technologies/outdated-server-software,Outdated Server Software Detected,Identify,ID.RA-01,Vulnerabilities in assets are identified and recorded,Outdated software contains known vulnerabilities.,Update to the latest secure version or migrate to supported software.
technologies/outdated-wordpress,Outdated WordPress Detected,Identify,ID.RA-01,Vulnerabilities in assets are identified and recorded,WordPress core vulnerabilities are actively exploited.,Update WordPress to the latest version; enable automatic security updates.
technologies/outdated-plugin,Outdated Plugin Detected,Identify,ID.RA-01,Vulnerabilities in assets are identified and recorded,Plugin vulnerabilities are a primary attack vector.,Update the plugin or remove if no longer maintained.
cves/2021/CVE-2021-44228,Log4Shell RCE Vulnerability,Identify,ID.RA-01,Vulnerabilities in assets are identified and recorded,Critical RCE vulnerability with active exploitation.,Patch immediately; update Log4j to 2.17.1+; apply mitigations if patching delayed.
network/ssh-weak-algo,SSH Weak Algorithm,Protect,PR.DS-02,Data-in-transit is protected,Weak SSH algorithms can be compromised.,Configure SSH to use strong key exchange and encryption algorithms.
network/ftp-anonymous,Anonymous FTP Access,Protect,PR.AA-03,Users and services are authenticated,Anonymous access bypasses authentication controls.,Disable anonymous FTP access; require authentication for all FTP connections.
exposures/aws-credentials,Exposed AWS Credentials,Identify,ID.RA-01,Vulnerabilities in assets are identified and recorded,Exposed cloud credentials enable full account compromise.,"Revoke credentials immediately, rotate all keys, audit CloudTrail for unauthorized access."
exposures/env-file,Exposed Environment File,Identify,ID.RA-01,Vulnerabilities in assets are identified and recorded,Environment files often contain database credentials and API keys.,"Remove public access, rotate all credentials found in the file."
misconfiguration/cors-misconfig,CORS Misconfiguration,Protect,PR.DS-02,Data-in-transit is protected,Overly permissive CORS allows unauthorized cross-origin requests.,Restrict Access-Control-Allow-Origin to specific trusted domains.
headers/missing-hsts,Missing HSTS Header,Protect,PR.DS-02,Data-in-transit is protected,Without HSTS browsers may connect over HTTP enabling downgrade attacks.,Add Strict-Transport-Security header with appropriate max-age.
headers/missing-csp,Missing Content-Security-Policy,Protect,PR.DS-02,Data-in-transit is protected,Missing CSP increases XSS attack surface.,Implement a Content-Security-Policy header appropriate to your application.
